,name,host_since,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,has_availability,first_review,last_review,instant_bookable,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
10,Comfy loft Downtown Quebec City,2016-10-16,within an hour,100%,f,t,Saint-Roch,Entire serviced apartment,Entire home/apt,1 bath,"[""Elevator"", ""Fire extinguisher"", ""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""Dishes and silverware"", ""Hot water"", ""TV with standard cable"", ""Hangers"", ""Refrigerator"", ""Iron"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Dedicated workspace"", ""Hair dryer"", ""Stove"", ""Washer"", ""Lockbox"", ""Microwave"", ""Coffee maker"", ""Cooking basics"", ""Kitchen"", ""Wifi""]",t,2016-11-12,2024-10-26,t,46.81287,-71.22469,2.0,1.0,0.0,1.0,87.0,1.0,365,14,35,65,332,42.8,68.0,5.0,4.74,4.84,4.75,4.88,4.81,4.7,4.67,2.0,2.0,0.0,0.0,7.41
11,Full appartement near the center of the city,2016-12-20,within a few hours,100%,t,t,Montcalm,Entire rental unit,Entire home/apt,1 bath,"[""Heating"", ""Dryer"", ""Washer"", ""Essentials"", ""TV"", ""Dishes and silverware"", ""Hot water"", ""Drying rack for clothing"", ""Hangers"", ""Clothing storage: closet and dresser"", ""Smoke alarm"", ""Refrigerator"", ""Kitchen"", ""Wifi"", ""Bathtub"", ""Cooking basics""]",t,2016-12-30,2024-09-01,f,46.80445,-71.22899,4.0,1.0,2.0,2.0,45.0,31.0,1125,7,22,52,232,186.0,4.0,0.0,4.76,4.91,4.75,4.95,4.89,4.88,4.83,1.0,1.0,0.0,0.0,1.94
12,Location de vacance 2,2015-09-20,within a few hours,100%,f,t,Vieux-Moulin,Private room in townhouse,Private room,2.5 shared baths,"[""Private backyard \u2013 Not fully fenced"", ""Extra pillows and blankets"", ""Free street parking"", ""Private entrance"", ""Oven"", ""Essentials"", ""Smoke alarm"", ""Heating"", ""Bed linens"", ""Dishes and silverware"", ""Hot water"", ""Private patio or balcony"", ""Hangers"", ""Refrigerator"", ""Iron"", ""Dedicated workspace"", ""Stove"", ""TV"", ""Central air conditioning"", ""Private living room"", ""Microwave"", ""Coffee maker"", ""Cooking basics"", ""Kitchen"", ""Wifi""]",t,2017-10-12,2023-11-16,f,46.8,-71.22711,2.0,1.0,1.4,1.8,50.0,31.0,1125,30,60,90,90,84.0,1.0,0.0,4.6,4.62,4.56,4.77,4.79,4.63,4.62,4.0,0.0,0.0,0.0,0.97
13,Location de vacance 4,2015-09-20,within a few hours,100%,f,t,Vieux-Moulin,Private room in townhouse,Private room,2.5 shared baths,"[""Extra pillows and blankets"", ""Free street parking"", ""Oven"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""Bed linens"", ""Dishes and silverware"", ""Hot water"", ""Backyard"", ""Private patio or balcony"", ""55 inch TV"", ""Hangers"", ""Refrigerator"", ""Iron"", ""Dedicated workspace"", ""Stove"", ""Lockbox"", ""Central air conditioning"", ""Lock on bedroom door"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Cooking basics"", ""Kitchen"", ""Wifi""]",t,2017-10-13,2022-09-16,t,46.8,-71.22706,2.0,1.0,1.0,1.0,60.0,31.0,1125,29,59,89,89,93.0,0.0,0.0,4.56,4.62,4.51,4.8,4.75,4.76,4.61,4.0,0.0,0.0,0.0,1.08
14,Les Immeubles Charlevoix - 760416 - CITQ 279646,2015-05-28,within an hour,96%,t,t,Saint-Jean-Baptiste,Entire rental unit,Entire home/apt,1 bath,"[""Building staff"", ""Patio or balcony"", ""Fire extinguisher"", ""Gym"", ""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""Hot water"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Hangers"", ""BBQ grill"", ""Refrigerator"", ""Iron"", ""Air conditioning"", ""Hair dryer"", ""Stove"", ""Paid parking on premises"", ""Washer"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2018-08-09,2024-10-29,t,46.81230164,-71.2161026,6.0,1.0,2.0,2.0,143.2,2.0,1125,24,43,70,332,51.0,23.0,1.0,4.86,4.92,4.9,4.9,4.84,5.0,4.73,6.1,4.3,0.0,0.0,0.67
15,Lofts de la Barricade | Par Lofts Vieux-Qc | BA302,2023-05-25,within an hour,100%,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,Entire serviced apartment,Entire home/apt,1 bath,"[""Central heating"", ""Elevator"", ""Freezer"", ""Fire extinguisher"", ""Hot water kettle"", ""Paid dryer \u2013 In building"", ""Single level home"", ""Essentials"", ""Coffee maker: drip coffee maker"", ""Smoke alarm"", ""Stainless steel oven"", ""Self check-in"", ""Clothing storage"", ""Paid washer \u2013 In building"", ""Wine glasses"", ""Toaster"", ""Bed linens"", ""Paid parking lot off premises"", ""Dishes and silverware"", ""First aid kit"", ""Hot water"", ""Iron"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Room-darkening shades"", ""Pack \u2019n play/Travel crib - available upon request"", ""Keypad"", ""Hair dryer"", ""TV"", ""Shared patio or balcony"", ""Microwave"", ""Dishwasher"", ""Booster seat high chair - available upon request"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Shampoo"", ""Electric stove""]",t,2024-02-11,2024-06-14,t,46.815805,-71.20272589999999,4.0,1.0,2.0,2.0,223.0,31.0,365,14,28,58,333,3.0,3.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.33,22.0,22.0,0.0,0.0,0.33
16,A Place to Fall in Love,2016-01-04,Desconocido,-%,f,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,Entire condo,Entire home/apt,1.5 baths,"[""Private entrance"", ""Heating"", ""Hair dryer"", ""Dryer"", ""Essentials"", ""Washer"", ""TV"", ""Free parking on premises"", ""Hangers"", ""Iron"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,23/01/2025,24/01/2025,f,46.81279,-71.21166,4.0,1.0,2.0,2.0,143.2,31.0,180,23,53,83,83,0.0,0.0,0.0,4.7,4.8,5.0,5.0,5.0,4.8,4.7,1.0,1.0,0.0,0.0,2.4
17,Chic loft in the city center!,2020-11-19,Desconocido,-%,f,t,Saint-Roch,Entire loft,Entire home/apt,1 bath,"[""Ethernet connection"", ""Exterior security cameras on property"", ""Free street parking"", ""Fire extinguisher"", ""Single level home"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Laundromat nearby"", ""Self check-in"", ""Heating"", ""Toaster"", ""Coffee"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""First aid kit"", ""Hot water"", ""Luggage dropoff allowed"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Pack \u2019n play/Travel crib - available upon request"", ""Dedicated workspace"", ""Keypad"", ""Hair dryer"", ""Stove"", ""Washer"", ""TV"", ""Microwave"", ""Coffee maker"", ""Shower gel"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2020-01-30,2024-11-01,t,46.81542,-71.2192,2.0,1.0,0.0,1.0,63.0,1.0,1125,5,17,35,196,42.8,17.3,7.0,4.63,4.81,4.71,4.88,4.92,4.7,4.62,11.0,11.0,0.0,0.0,5.21
18,Luxury and comfort in the city center!,2020-11-19,Desconocido,-%,f,t,Saint-Roch,Entire loft,Entire home/apt,1 bath,"[""Exterior security cameras on property"", ""Free street parking"", ""Fire extinguisher"", ""Single level home"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Pack \u2019n play/Travel crib - available upon request"", ""Dedicated workspace"", ""Keypad"", ""Hair dryer"", ""Stove"", ""Washer"", ""TV"", ""Microwave"", ""Coffee maker"", ""Shower gel"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2020-01-26,2024-11-01,t,46.8148,-71.22059,2.0,1.0,0.0,1.0,63.0,1.0,1125,8,17,42,221,42.8,78.0,6.0,4.63,4.73,4.63,4.91,4.86,4.64,4.58,11.0,11.0,0.0,0.0,5.73
19,"Chaleur et confort, stat. déneigé, Centre ville",2019-02-16,Desconocido,-%,t,t,Saint-Sauveur,Entire rental unit,Entire home/apt,1 bath,"[""Central heating"", ""Ethernet connection"", ""Shared backyard \u2013 Fully fenced"", ""Conditioner"", ""Extra pillows and blankets"", ""Free street parking"", ""Freezer"", ""Rice maker"", ""Exercise equipment: elliptical, yoga mat"", ""BBQ grill: electric, gas"", ""Cooking basics"", ""Gym"", ""Fire extinguisher"", ""Hot water kettle"", ""Coffee maker: drip coffee maker, espresso machine"", ""Private entrance"", ""Blender"", ""Single level home"", ""Host greets you"", ""Essentials"", ""44 inch HDTV with Netflix, premium cable, standard cable"", ""Portable fans"", ""Pocket wifi"", ""Smoke alarm"", ""Stainless steel oven"", ""Barbecue utensils"", ""Self check-in"", ""Bathtub"", ""Body soap"", ""Free washer"", ""Wine glasses"", ""Toaster"", ""Coffee"", ""Bed linens"", ""Books and reading material"", ""Dishes and silverware"", ""First aid kit"", ""Outdoor dining area"", ""Window AC unit"", ""Hot water"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Private patio or balcony"", ""Mosquito net"", ""Hangers"", ""Baking sheet"", ""Iron"", ""Refrigerator"", ""Pets allowed"", ""Outdoor furniture"", ""Room-darkening shades"", ""Dedicated workspace"", ""Free dryer"", ""Hair dryer"", ""Lockbox"", ""Microwave"", ""Dishwasher"", ""Sun loungers"", ""Shower gel"", ""Drying rack for clothing"", ""Dining table"", ""Cleaning products"", ""Clothing storage: walk-in closet, closet, wardrobe, and dresser"", ""Kitchen"", ""Wifi"", ""Shampoo"", ""Electric stove"", ""Bread maker""]",t,2022-06-27,2023-11-03,f,46.80977,-71.24011,2.0,1.0,1.0,1.0,115.0,15.2,1125,29,59,89,364,19.0,0.0,0.0,4.84,4.89,4.89,5.0,5.0,4.79,4.89,2.0,2.0,0.0,0.0,0.66
20,B301 - Les Lofts de Buade - Par Les Lofts Vieux-QC,2020-06-05,within an hour,96%,f,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,Entire rental unit,Entire home/apt,1 bath,"[""Extra pillows and blankets"", ""Fire extinguisher"", ""Single level home"", ""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""Bed linens"", ""Dishes and silverware"", ""First aid kit"", ""Crib"", ""Hot water"", ""TV with standard cable"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Keypad"", ""Hair dryer"", ""Stove"", ""Washer"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Shower gel"", ""Cooking basics"", ""Paid parking off premises"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2020-06-27,2024-10-26,f,46.81305,-71.20671,2.0,1.0,1.0,2.0,143.2,31.0,1125,13,39,66,336,7.0,4.0,1.0,4.57,4.57,4.71,4.86,4.57,5.0,4.57,6.0,6.0,0.0,0.0,0.13
21,P101 - Les Lofts St-Paul - Par Les Lofts Vieux-QC,2014-11-13,Desconocido,-%,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,Entire rental unit,Entire home/apt,1 bath,"[""Extra pillows and blankets"", ""Fire extinguisher"", ""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""Bed linens"", ""Dishes and silverware"", ""First aid kit"", ""Crib"", ""Hot water"", ""TV with standard cable"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Keypad"", ""Hair dryer"", ""Stove"", ""Washer"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Shower gel"", ""Cooking basics"", ""Paid parking off premises"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2021-01-31,2024-08-04,f,46.81639,-71.20824,4.0,1.0,2.0,3.0,214.0,31.0,1125,13,31,61,322,7.0,3.0,0.0,4.8,4.71,4.57,4.9,4.9,4.86,4.7,6.1,4.3,0.0,0.0,0.15
22,LC208 - Les Lofts Charest - Par Les Lofts Vieux-QC,2014-11-13,Desconocido,-%,t,t,Saint-Roch,Entire rental unit,Entire home/apt,1 bath,"[""Extra pillows and blankets"", ""Fire extinguisher"", ""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""Bed linens"", ""Dishes and silverware"", ""First aid kit"", ""Crib"", ""Hot water"", ""TV with standard cable"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Keypad"", ""Hair dryer"", ""Stove"", ""Washer"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Shower gel"", ""Cooking basics"", ""Paid parking off premises"", ""Kitchen"", ""Wifi"", ""Shampoo""]",t,2021-02-15,2024-07-28,f,46.81413,-71.22364,4.0,1.0,2.0,2.0,143.2,31.0,1125,21,44,74,321,7.0,1.0,0.0,4.43,4.86,5.0,4.9,4.9,4.57,4.57,6.1,4.3,0.0,0.0,0.15
23,Room 03 - Comfortable room in the Art District,2015-06-04,within an hour,100%,t,t,Montcalm,Private room in guesthouse,Private room,1 private bath,"[""Shared backyard \u2013 Fully fenced"", ""Exterior security cameras on property"", ""Free dryer \u2013 In building"", ""Free washer \u2013 In building"", ""40 inch HDTV with Netflix, standard cable"", ""Extra pillows and blankets"", ""Clothing storage: closet and dresser"", ""Freezer"", ""Pure Tangerine  conditioner"", ""Fire extinguisher"", ""Hot water kettle"", ""Essentials"", ""Smoke alarm"", ""Laundromat nearby"", ""Self check-in"", ""Bathtub"", ""Body soap"", ""Ceiling fan"", ""Heating"", ""Wine glasses"", ""Toaster"", ""Coffee"", ""Bed linens"", ""Books and reading material"", ""Dishes and silverware"", ""First aid kit"", ""Outdoor dining area"", ""Free parking on premises"", ""Hot water"", ""BBQ grill: gas"", ""Luggage dropoff allowed"", ""Private patio or balcony"", ""Long term stays allowed"", ""Hangers"", ""Breakfast"", ""Iron"", ""Refrigerator"", ""Outdoor furniture"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Keypad"", ""Hair dryer"", ""Coffee maker: Nespresso"", ""Central air conditioning"", ""Microwave"", ""EV charger"", ""Shower gel"", ""Dining table"", ""Cooking basics"", ""Kitchen"", ""Fast wifi \u2013 831 Mbps"", ""Shampoo""]",t,2020-09-09,2024-09-08,f,46.800667,-71.232338,2.0,1.0,1.0,1.0,142.0,1.0,1125,3,12,29,258,9.0,4.0,0.0,4.89,4.89,5.0,5.0,5.0,5.0,4.89,6.0,1.0,0.0,0.0,0.18
